station_id,lon,lat,layers,sources,required,component_count,population_value,job_value,transport_value,commercial_value,total_value,name,station_type
S031,121.45249223,31.23111696,commercial,large_commercial_center,False,4,0.00,0.00,0.00,120000.00,120000.00,梅龙镇广场 / 中信富泰广场 / 818广场 / 金鹰国际购物广场,commercial_center
S032,121.44155972,31.17888095,"commercial,population","large_commercial_center,weighted_kmeans",False,2,84442.00,0.00,0.00,30000.00,114442.00,全国土特产食品购物中心,commercial+population_center
S033,121.48998947,31.25464037,population,weighted_kmeans,False,1,109914.00,0.00,0.00,0.00,109914.00,,population_center
S034,121.46676613,31.20562113,"commercial,population","large_commercial_center,weighted_kmeans",False,2,76912.00,0.00,0.00,30000.00,106912.00,东汇广场,commercial+population_center
S035,121.50832844,31.23642599,"commercial,population","large_commercial_center,weighted_kmeans",False,2,68981.00,0.00,0.00,30000.00,98981.00,自由贸易试验区览海国际广场,commercial+population_center
S036,121.51289547,31.19608526,"commercial,population","large_commercial_center,weighted_kmeans",False,2,63904.00,0.00,0.00,30000.00,93904.00,百联临沂购物中心,commercial+population_center
S037,121.50174121,31.17657322,population,weighted_kmeans,False,1,93226.00,0.00,0.00,0.00,93226.00,,population_center
S038,121.54886782,31.18590965,"commercial,population","large_commercial_center,weighted_kmeans",False,2,59049.00,0.00,0.00,30000.00,89049.00,北蔡休闲广场,commercial+population_center
S039,121.42717416,31.22958928,population,weighted_kmeans,False,1,82028.00,0.00,0.00,0.00,82028.00,,population_center
S040,121.52442020,31.23390981,"commercial,population","large_commercial_center,weighted_kmeans",False,2,46596.00,0.00,0.00,30000.00,76596.00,世纪汇广场,commercial+population_center
S041,121.52115181,31.15093490,population,weighted_kmeans,False,1,70363.00,0.00,0.00,0.00,70363.00,,population_center
S042,121.43772553,31.18973217,commercial,large_commercial_center,False,2,0.00,0.00,0.00,60000.00,60000.00,腾飞广场 / 腾飞广场,commercial_center
S043,121.42651585,31.17258322,commercial,large_commercial_center,False,2,0.00,0.00,0.00,60000.00,60000.00,汇阳广场 / 光大生活广场,commercial_center
S044,121.54767782,31.21421167,population,weighted_kmeans,False,1,52204.00,0.00,0.00,0.00,52204.00,,population_center
S045,121.44733988,31.15504080,population,weighted_kmeans,False,1,44256.00,0.00,0.00,0.00,44256.00,,population_center
S046,121.55404692,31.24751829,population,weighted_kmeans,False,1,41735.00,0.00,0.00,0.00,41735.00,,population_center
S047,121.43250970,31.19924420,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,百联徐汇商业广场,commercial_center
S048,121.44164459,31.22568127,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,久百城市广场,commercial_center
S049,121.55941877,31.15579745,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,百联东郊购物中心,commercial_center
S050,121.50886700,31.14310973,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,中房金谊广场,commercial_center
S051,121.54118441,31.20648259,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,富荟广场,commercial_center
S052,121.50316533,31.16472608,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,亿丰时代广场,commercial_center
S053,121.54557015,31.17396700,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,幕天商业广场,commercial_center
S054,121.41738204,31.14101197,commercial,large_commercial_center,False,1,0.00,0.00,0.00,30000.00,30000.00,华轻梅陇购物中心,commercial_center
